기준년월,지역코드,통합시군구코드,지원센터코드,이용자구분코드,이용자분류코드,행복e음대상자여부,이용금액,이용건수,이용자수
201701,부산,03000002,S02701,긴급지원대상자,독거어르신,N,16703.4,1,1
201701,부산,03000002,S02701,저소득층,기타,N,33406.8,2,2
201701,부산,03000002,S02701,저소득층,한부모가정,N,16703.4,1,1
201701,부산,03000002,S02701,저소득층,독거어르신,N,66813.6,4,4
201701,부산,03000002,S02701,저소득층,결식아동,N,16703.4,1,1
201701,부산,03000002,S02701,차상위계층,저소득가정,N,43428.84,1,1
201701,부산,03000002,S02701,기초생활보장수급자,기타,N,16703.4,1,1
201701,부산,03000003,S02801,차상위계층,저소득가정,N,122896.09,8,2
201701,부산,03000003,S02801,긴급지원대상자,결식아동,N,129398.59,19,5
201701,부산,03000003,S02801,저소득층,기타,N,257232.7,53,10
201701,부산,03000003,S02801,저소득층,한부모가정,N,152090.2,27,7
201701,부산,03000003,S02801,저소득층,저소득가정,N,157369.9,85,30
201701,부산,03000003,S02801,저소득층,재가장애인,N,54000,17,17
201701,부산,03000003,S02801,저소득층,독거어르신,N,69334.9,13,2
201701,부산,03000003,S02801,저소득층,다문화가정,N,68024.44,12,3
201701,부산,03000003,S02801,저소득층,결식아동,N,568731.57,103,32
201701,부산,03000003,S02801,차상위계층,기타,N,5291.82,3,1
201701,부산,03000003,S02801,차상위계층,한부모가정,N,46157.88,12,2
201701,부산,03000003,S02801,차상위계층,재가장애인,N,33043.19,6,1
201701,부산,03000003,S02801,차상위계층,독거어르신,N,9587.84,7,2
201701,부산,03000003,S02801,차상위계층,결식아동,N,137266.95,21,3
201701,부산,03000003,S02801,기초생활보장수급자,청장년1인가구,N,62749.8,4,1
201701,부산,03000003,S02801,기초생활보장수급자,기타,N,778527.38,157,35
201701,부산,03000003,S02801,기초생활보장수급자,한부모가정,N,57822.15,4,1
201701,부산,03000003,S02801,기초생활보장수급자,저소득가정,N,358676.87,38,13
201701,부산,03000003,S02801,기초생활보장수급자,재가장애인,N,189370.19,48,12
201701,부산,03000003,S02801,기초생활보장수급자,독거어르신,N,524706.44,310,110
201701,부산,03000003,S02801,기초생활보장수급자,다문화가정,N,227337.39,25,6
201701,부산,03000003,S02801,기초생활보장수급자,결식아동,N,2031269.07,336,65
201701,부산,03000003,S02801,긴급지원대상자,저소득가정,N,7616.52,2,1
201701,부산,03000003,S02801,긴급지원대상자,독거어르신,N,478.86,1,1
201701,부산,03000004,S02901,저소득층,기타,N,115761.76,289,139
201701,부산,03000004,S02901,기초생활보장수급자,독거어르신,N,165222.36,399,167
201701,부산,03000004,S02901,기초생활보장수급자,다문화가정,N,6948.48,15,6
201701,부산,03000004,S02901,저소득층,저소득가정,N,1575301.44,1478,409
201701,부산,03000004,S02901,저소득층,조손가정,N,1451.8,14,7
201701,부산,03000004,S02901,저소득층,한부모가정,N,82498.92,33,13
201701,부산,03000004,S02901,기초생활보장수급자,결식아동,N,4148,40,20
201701,부산,03000004,S02901,긴급지원대상자,한부모가정,N,10000,1,1
201701,부산,03000004,S02901,긴급지원대상자,저소득가정,N,207.4,2,1
201701,부산,03000004,S02901,긴급지원대상자,독거어르신,N,1659.2,16,8
201701,부산,03000004,S02901,긴급지원대상자,결식아동,N,27560.56,18,8
201701,부산,03000004,S02901,저소득층,재가장애인,N,303940.6,41,19
201701,부산,03000004,S02901,저소득층,독거어르신,N,76607.61,114,40
201701,부산,03000004,S02901,저소득층,다문화가정,N,4632.32,10,4
201701,부산,03000004,S02901,차상위계층,기타,N,1451.8,14,7
201701,부산,03000004,S02901,차상위계층,한부모가정,N,52281.4,25,11
201701,부산,03000004,S02901,차상위계층,조손가정,N,622.2,6,3
201701,부산,03000004,S02901,차상위계층,저소득가정,N,27866.6,20,9
201701,부산,03000004,S02901,차상위계층,재가장애인,N,1866.6,18,9
201701,부산,03000004,S02901,차상위계층,독거어르신,N,1451.8,14,7
201701,부산,03000004,S02901,기초생활보장수급자,기타,N,124758.33,203,100
201701,부산,03000004,S02901,기초생활보장수급자,한부모가정,N,3389788.8,217,112
201701,부산,03000004,S02901,기초생활보장수급자,조손가정,N,4148,40,20
201701,부산,03000004,S02901,기초생활보장수급자,저소득가정,N,105921.46,101,39
201701,부산,03000004,S02901,기초생활보장수급자,재가장애인,N,23228.8,224,112
201701,부산,03000004,S02901,기초생활보장수급자,소년소녀가장,N,414.8,4,2
201701,부산,03000007,S03201,차상위계층,독거어르신,N,21600,1,1
201701,부산,03000007,S03201,기초생활보장수급자,기타,N,18098,1,1
201701,부산,03000007,S03201,기초생활보장수급자,독거어르신,N,234555.92,18,17
201701,부산,03000007,S03201,저소득층,독거어르신,N,734369.59,53,48
201701,부산,03000007,S03201,긴급지원대상자,결식아동,N,360876.19,29,26
201701,부산,03000008,S03301,차상위계층,결식아동,N,295138.01,93,11
201701,부산,03000008,S03301,저소득층,기타,N,642693.21,173,9
201701,부산,03000008,S03301,저소득층,한부모가정,N,278009.74,29,1
201701,부산,03000008,S03301,저소득층,재가장애인,N,944240.2,231,48
201701,부산,03000008,S03301,저소득층,독거어르신,N,5701895.01,955,46
201701,부산,03000008,S03301,차상위계층,기타,N,533265.39,162,20
201701,부산,03000008,S03301,차상위계층,재가장애인,N,247471.96,35,1
201701,부산,03000008,S03301,차상위계층,독거어르신,N,1091404.27,108,3
201701,부산,03000008,S03301,기초생활보장수급자,기타,N,1498658.03,421,17
201701,부산,03000008,S03301,기초생활보장수급자,한부모가정,N,473587.58,114,4
201701,부산,03000008,S03301,기초생활보장수급자,저소득가정,N,63277.67,20,1
201701,부산,03000008,S03301,기초생활보장수급자,재가장애인,N,1333150.48,384,31
201701,부산,03000008,S03301,기초생활보장수급자,독거어르신,N,636540.65,160,8
201701,부산,03000008,S03301,기초생활보장수급자,결식아동,N,108043.4,34,4
201701,부산,03000008,S03301,긴급지원대상자,기타,N,2117738.16,472,31
201701,부산,03000008,S03301,긴급지원대상자,한부모가정,N,860054.58,150,11
201701,부산,03000008,S03301,긴급지원대상자,조손가정,N,126142.12,27,2
201701,부산,03000008,S03301,긴급지원대상자,저소득가정,N,2508215.89,394,28
201701,부산,03000008,S03301,긴급지원대상자,재가장애인,N,17953.5,6,1
201701,부산,03000008,S03301,긴급지원대상자,독거어르신,N,257051.37,37,1
