기준년월,지역코드,통합시군구코드,지원센터코드,시설유형명,시설단체분류코드,이용금액,이용건수,시설단체수
201701,부산,03000001,S02601,이용시설,재가복지센터,1942860.07,124,1
201701,부산,03000001,S02601,이용시설,지역아동센터,13415987.45,1072,5
201701,부산,03000001,S02601,이용시설,기타이용시설,15934968.52,1257,5
201701,부산,03000001,S02601,기타시설,기타법인단체,9539396.63,824,2
201701,부산,03000001,S02601,이용시설,무료급식소,4519074.78,432,1
201701,부산,03000001,S02601,이용시설,복지관,4637228.86,207,1
201701,부산,03000002,S02701,기타시설,종교사회단체,2406911.8,4,1
201701,부산,03000002,S02701,기타시설,기타법인단체,778379.9,3,2
201701,부산,03000002,S02701,기타시설,기타,1628312.2,5,4
201701,부산,03000002,S02701,생활시설,노인시설,4732746.05,10,2
201701,부산,03000002,S02701,생활시설,여성시설,4110739.3,10,2
201701,부산,03000002,S02701,생활시설,장애인시설,1376424.4,3,2
201701,부산,03000002,S02701,생활시설,한부모가족시설,9156417.55,27,4
201701,부산,03000002,S02701,이용시설,무료급식소,4913248.3,10,4
201701,부산,03000002,S02701,이용시설,복지관,3773923.15,9,3
201701,부산,03000002,S02701,이용시설,재가복지센터,3149037.5,6,1
201701,부산,03000002,S02701,이용시설,기타이용시설,6236747.35,16,6
201701,부산,03000003,S02801,이용시설,지역아동센터,301429.73,5,2
201701,부산,03000003,S02801,이용시설,기타이용시설,1907800.85,14,3
201701,부산,03000003,S02801,기타시설,기타법인단체,2776299.87,17,2
201701,부산,03000003,S02801,생활시설,아동시설,162900.18,1,1
201701,부산,03000003,S02801,이용시설,무료급식소,99999.85,1,1
201701,부산,03000003,S02801,이용시설,복지관,479200,3,1
201701,부산,03000003,S02801,이용시설,재가복지센터,1509000,10,2
201701,부산,03000005,S03001,기타시설,종교사회단체,2757100,1,1
201701,부산,03000005,S03001,생활시설,노인시설,1389598.6,1,1
201701,부산,03000005,S03001,이용시설,기타이용시설,215468,1,1
201701,부산,03000005,S03001,이용시설,지역아동센터,3100919.88,6,5
201701,부산,03000005,S03001,이용시설,복지관,1081500,1,1
201701,부산,03000005,S03001,이용시설,무료급식소,1341668.36,4,3
201701,부산,03000005,S03001,생활시설,장애인시설,1106849.94,1,1
201701,부산,03000005,S03001,기타시설,기타법인단체,640050,1,1
201701,부산,03000006,S03101,생활시설,부랑인시설,552047.9,6,1
201701,부산,03000006,S03101,이용시설,기타이용시설,2051012.44,33,3
201701,부산,03000006,S03101,이용시설,지역아동센터,7444438.44,72,9
201701,부산,03000006,S03101,이용시설,재가복지센터,518100.12,7,1
201701,부산,03000006,S03101,생활시설,여성시설,20000,1,1
201701,부산,03000006,S03101,기타시설,기타법인단체,850848.06,17,1
