기준년월,지역코드,통합시군구코드,지원센터코드,기부자구분코드,기부사업장종류코드,기부자명,기부금액,기부건수,기부자수
201601,부산,03000013,S02501,기업(개인사업자),"식품 도,소매업",신정푸드(주),3360000,1,1
201601,부산,03000013,S02501,기업(개인사업자),"식품제조,가공업",팔구어묵,65000,6,1
201601,부산,03000013,S02501,기업(개인사업자),"식품 도,소매업",코카콜라음료 주식회사,13533263,1,1
201601,부산,03000013,S02501,기업(개인사업자),"식품 도,소매업",농업회사법인주식회사 한파밍,480000,1,1
201601,부산,03000013,S02501,기업(개인사업자),"식품제조,가공업",아태물류,2500000,1,1
201601,부산,03000013,S02501,기업(개인사업자),"식품제조,가공업",코스마미,10848000,3,1
201601,부산,03000013,S02501,기업(개인사업자),"즉석판매,제조가공업",파리크라상(주)범일베이킹T/C,4394800,2,1
201601,부산,03000013,S02501,기업(개인사업자),"즉석판매,제조가공업",파리크라상(주)범일베이킹B/C,10973520,2,1
201601,부산,03000013,S02501,기업(개인사업자),"즉석판매,제조가공업",파리크라상(주) 연산베이킹,28444300,2,1
201601,부산,03000013,S02501,기업(개인사업자),"즉석판매,제조가공업",파리바게뜨(서면태화점),6154900,2,1
201601,부산,03000013,S02501,기업(개인사업자),"즉석판매,제조가공업",비알코리아(던킨도너츠 김해공장),15063531,2,1
201601,부산,03000013,S02501,기업(개인사업자),"식품 도,소매업",주)코스트코코리아,16790000,2,1
201601,부산,03000013,S02501,기업(개인사업자),"식품 도,소매업",이마트트레이더스 서면점,625540,1,1
201601,부산,03000013,S02501,기업(개인사업자),"식품 도,소매업",고고커피,356400,1,1
201601,부산,03000001,S02601,개인,"식품 도,소매업",개인기부자,681800,4,1
201601,부산,03000001,S02601,기업(개인사업자),"즉석판매,제조가공업",파리바게뜨 대청점,1499540,27,1
201601,부산,03000001,S02601,기업(개인사업자),"즉석판매,제조가공업",파리바게뜨 남포점,1932500,19,1
201601,부산,03000001,S02601,기업(개인사업자),"식품제조,가공업",파리바게뜨 중앙역점,183200,4,1
201601,부산,03000001,S02601,기업(개인사업자),"즉석판매,제조가공업",파리바게뜨 광복점,775700,10,1
201601,부산,03000001,S02601,기업(개인사업자),"식품제조,가공업",프랑가스트,10615000,27,1
201601,부산,03000001,S02601,단체,"즉석판매,제조가공업",파리바게뜨 자갈치점,327500,8,1
201601,부산,03000002,S02701,기업(개인사업자),"식품 도,소매업",파리바게트 부산역사점,6059800,7,1
201601,부산,03000002,S02701,기업(개인사업자),"식품제조,가공업",파리바게트 아미동점,694900,6,1
201601,부산,03000002,S02701,기업(개인사업자),"식품제조,가공업",시민제과,313600,1,1
201601,부산,03000002,S02701,기업(개인사업자),"식품제조,가공업",비비큐대신점,306000,1,1
201601,부산,03000002,S02701,단체,"즉석판매,제조가공업",파리바게트(동대신점),1373100,6,1
201601,부산,03000002,S02701,기업(개인사업자),식품 접객업,송도파리바게트,113000,2,1
201601,부산,03000002,S02701,기업(개인사업자),식품 접객업,새벽찬,190080,1,1
201601,부산,03000002,S02701,기업(개인사업자),"식품 도,소매업",파리바게트 충무동점,571700,7,1
201601,부산,03000003,S02801,기업(개인사업자),"식품제조,가공업",수입과자(지중해상사),8400000,1,1
201601,부산,03000003,S02801,기업(개인사업자),"식품제조,가공업",팡도르 제과점,1298500,7,1
201601,부산,03000003,S02801,기업(개인사업자),"즉석판매,제조가공업",파리바게뜨 부산범냇골점,1629100,23,1
201601,부산,03000003,S02801,단체,"즉석판매,제조가공업",(주) 롯데리아 크리스피크림 서면점,520106,25,1
201601,부산,03000003,S02801,단체,"즉석판매,제조가공업",루반도르 제과점,956000,10,1
201601,부산,03000003,S02801,개인,"즉석판매,제조가공업",개인기부자,430300,19,1
201601,부산,03000003,S02801,기업(개인사업자),"식품제조,가공업",뚜레쥬르 부산진역점,389000,5,1
201601,부산,03000003,S02801,기업(개인사업자),"식품제조,가공업",(주)KT에스테이트,466300,14,1
201601,부산,03000003,S02801,기업(개인사업자),"식품제조,가공업",임준희(파리바게뜨 금융단지점),4769200,31,1
201601,부산,03000004,S02901,기업(개인사업자),"즉석판매,제조가공업",(주)롯데리아크리스피크림부산롯데광복점,504639,4,1
201601,부산,03000004,S02901,기업(개인사업자),"식품제조,가공업",던킨도너츠(동삼점),1270200,6,1
201601,부산,03000004,S02901,기업(개인사업자),"식품제조,가공업",서울떡집,1200000,4,1
201601,부산,03000004,S02901,기업(개인사업자),"식품제조,가공업",파리바게뜨 동삼점,1101600,1,1
201601,부산,03000004,S02901,기업(개인사업자),"즉석판매,제조가공업",OPS,168800,1,1
201601,부산,03000004,S02901,기업(개인사업자),"즉석판매,제조가공업",파리바게뜨 영도남항점,2055100,3,1
201601,부산,03000004,S02901,기업(개인사업자),"식품 도,소매업",떡보의하루 영도중구점,330000,1,1
201601,부산,03000004,S02901,기업(개인사업자),집단 급식소,(주)디앤티토탈서비스,5150000,1,1
201601,부산,03000004,S02901,단체,집단 급식소,부산체육고등학교,2740000,2,1
201601,부산,03000005,S03001,기업(개인사업자),"식품제조,가공업",신동석베이커리,1122100,1,1
201601,부산,03000005,S03001,기업(개인사업자),"식품제조,가공업",뚜레쥬르 서면점,3146749,2,1
201601,부산,03000005,S03001,기업(개인사업자),"식품제조,가공업",코코로베이커리,9159300,1,1
201601,부산,03000005,S03001,기업(개인사업자),"식품제조,가공업",파리바게트 서면 1번가점,33500,1,1
201601,부산,03000005,S03001,기업(개인사업자),"식품제조,가공업",파리바게트 초읍대공원점,1423200,1,1
201601,부산,03000005,S03001,기업(개인사업자),"식품제조,가공업",프레제 연지점,42700,1,1
201601,부산,03000005,S03001,기업(개인사업자),"즉석판매,제조가공업",겐츠베이커리,1390700,1,1
201601,부산,03000006,S03101,단체,"즉석판매,제조가공업",블랑제리오감,99600,2,1
201601,부산,03000006,S03101,기업(개인사업자),"식품제조,가공업",GS25명륜중앙점,105000,1,1
201601,부산,03000006,S03101,기업(개인사업자),"식품제조,가공업",권영한(파바온천스카이),30400,1,1
201601,부산,03000006,S03101,기업(개인사업자),"식품제조,가공업",드오네뜨,1324165,1,1
201601,부산,03000006,S03101,기업(개인사업자),"식품제조,가공업",박성룡과자점,65200,1,1
201601,부산,03000006,S03101,기업(개인사업자),"식품제조,가공업",빚은 부산수안역점,355900,2,1
201601,부산,03000006,S03101,기업(개인사업자),"식품제조,가공업",빵장수단팥빵정관점,5034000,8,1
