기준년월,지역코드,통합시군구코드,접수지원센터코드,식품여부,기부물품대분류코드,기부물품중분류코드,장부금액,장부수량,기부자수,기부건수
201701,03,03000001,S02601,Y,스포츠용품,유제품,5327060,2051,8,81
201701,03,03000001,S49001,Y,스포츠용품,조미료,11091000,4906,9,442
201701,03,03000001,S49001,Y,스포츠용품,축산가공식품,220400,79,1,2
201701,03,03000001,S49001,Y,스포츠용품,수산가공식품,1346772,781,6,25
201701,03,03000001,S49001,Y,스포츠용품,대용식기타,6150246.68,3564,8,266
201701,03,03000001,S49001,Y,스포츠용품,통조림/병,1049730,405,5,47
201701,03,03000001,S49001,Y,스포츠용품,냉동식품,817570,176,2,17
201701,03,03000001,S49001,Y,스포츠용품,절임/발효식품,46758,18,1,6
201701,03,03000001,S49001,Y,스포츠용품,분말류,6161587,3305,8,225
201701,03,03000001,S49001,Y,스포츠용품,즉석/편의식품,7319854.72,3754,8,350
201701,03,03000001,S49001,Y,스포츠용품,건강식품,266320,35,2,2
201701,03,03000001,S49001,Y,스포츠용품,과자류,578385,911,6,35
201701,03,03000001,S49001,Y,스포츠용품,음료류,175996,48,3,9
201701,03,03000001,S49001,Y,스포츠용품,기타가공식품,153459,132,2,13
201701,03,03000001,S49001,Y,신선식품,농산물,786862,60,3,10
201701,03,03000001,S49001,Y,신선식품,축산물,90394,22,1,5
201701,03,03000001,S49001,Y,신선식품,기타신선식품,10354,4,1,2
201701,03,03000002,S02701,Y,스포츠용품,급식류,190080,90,1,1
201701,03,03000002,S02701,Y,스포츠용품,대용식(빵),8743300,3773,6,23
201701,03,03000002,S02701,Y,신선식품,수산물,7124000,52,1,1
201701,03,03000002,S40301,N,일상용품,위생용품,23430000,4300,1,13
201701,03,03000002,S40301,N,가정용품,주방용품,9800000,1530,1,5
201701,03,03000002,S40301,N,가정용품,청소/욕실용품,3000000,200,1,1
201701,03,03000002,S40301,N,가정용품,세탁용품,13490000,1500,1,9
201701,03,03000002,S40301,N,의류/패션잡화,신발,36800000,400,1,1
201701,03,03000002,S40301,Y,스포츠용품,조미료,6700000,2000,2,2
201701,03,03000002,S40301,Y,스포츠용품,축산가공식품,4440000,1200,1,1
201701,03,03000002,S40301,Y,스포츠용품,대용식기타,2850000,750,1,1
201701,03,03000002,S40301,Y,스포츠용품,통조림/병,3500000,1000,1,1
201701,03,03000002,S40301,Y,스포츠용품,냉동식품,629900,160,1,3
201701,03,03000002,S40301,Y,스포츠용품,대용식(빵),1757900,586,1,1
201701,03,03000002,S40301,Y,신선식품,농산물,2296800,213,3,4
201701,03,03000003,S02801,Y,스포츠용품,대용식(빵),13486708,6564,6,116
201701,03,03000004,S02901,Y,스포츠용품,즉석/편의식품,1600000,8,2,2
201701,03,03000004,S02901,Y,스포츠용품,대용식(빵),3543823,3049,3,5
201701,03,03000004,S02901,Y,신선식품,농산물,1260000,126,1,1
201701,03,03000004,S51501,Y,스포츠용품,조미료,181121,75,2,27
201701,03,03000004,S51501,Y,스포츠용품,축산가공식품,151200,27,1,1
201701,03,03000004,S51501,Y,스포츠용품,수산가공식품,7500,5,1,1
201701,03,03000004,S51501,Y,스포츠용품,대용식기타,996563,313,3,36
201701,03,03000004,S51501,Y,스포츠용품,통조림/병,84740,22,1,6
201701,03,03000004,S51501,Y,스포츠용품,냉동식품,25740,5,1,2
201701,03,03000004,S51501,Y,스포츠용품,어육/연식품류,600000,300,1,1
201701,03,03000004,S51501,Y,스포츠용품,분말류,99826,51,2,11
201701,03,03000004,S51501,Y,스포츠용품,즉석/편의식품,376332,198,2,36
201701,03,03000004,S51501,Y,스포츠용품,과자류,38236,79,2,6
201701,03,03000004,S51501,Y,스포츠용품,음료류,2662,1,1,1
201701,03,03000004,S51501,Y,스포츠용품,기타가공식품,94765,148,2,5
201701,03,03000004,S51501,Y,신선식품,농산물,2280000,94,2,2
201701,03,03000004,S51501,Y,신선식품,축산물,1237500,275,1,1
201701,03,03000004,S51501,Y,신선식품,기타신선식품,6240,3,1,1
201701,03,03000005,S03001,N,일상용품,위생용품,224000,15,1,2
201701,03,03000005,S03001,N,가정용품,주방용품,60000,10,1,1
201701,03,03000005,S03001,N,가정용품,청소/욕실용품,17500,5,1,1
201701,03,03000005,S03001,Y,스포츠용품,대용식(빵),27744381,10950,12,13
201701,03,03000005,S50701,N,일상용품,위생용품,275560,360,1,1
201701,03,03000005,S50701,Y,스포츠용품,조미료,584544,180,2,3
201701,03,03000005,S50701,Y,스포츠용품,수산가공식품,333360,72,1,1
201701,03,03000005,S50701,Y,스포츠용품,대용식기타,174057,69,1,4
201701,03,03000005,S50701,Y,스포츠용품,통조림/병,345600,144,1,1
201701,03,03000005,S50701,Y,스포츠용품,냉동식품,1039500,189,1,5
201701,03,03000005,S50701,Y,스포츠용품,즉석/편의식품,145987,105,1,9
201701,03,03000005,S50701,Y,스포츠용품,대용식(빵),16096300,5365,1,1
201701,03,03000005,S50701,Y,스포츠용품,기타가공식품,5577262,1827,1,20
201701,03,03000006,S03101,Y,스포츠용품,즉석/편의식품,141000,91,1,3
201701,03,03000006,S03101,Y,스포츠용품,과자류,4230000,4230,1,2
201701,03,03000006,S03101,Y,스포츠용품,대용식(빵),10734400,4764,14,160
201701,03,03000006,S03101,Y,스포츠용품,기타가공식품,162000,81,1,1
201701,03,03000006,S40001,N,일상용품,화장품,4168692,1980,1,1
201701,03,03000006,S40001,Y,스포츠용품,대용식(빵),2910500,947,1,8
201701,03,03000006,S40001,Y,스포츠용품,기타가공식품,7349877,2990,2,16
201701,03,03000006,S40001,Y,신선식품,농산물,142000,300,1,2
201701,03,03000007,S03201,N,일상용품,기타일상용품,231600,33,1,1
201701,03,03000007,S03201,Y,스포츠용품,대용식(빵),10531450,4368,9,141
201701,03,03000007,S03201,Y,스포츠용품,기타가공식품,146080,44,1,1
201701,03,03000007,S03201,Y,신선식품,농산물,200000,80,1,1
201701,03,03000007,S48201,N,일상용품,기타일상용품,35000,13,1,1
201701,03,03000007,S48201,Y,스포츠용품,조미료,24000,6,1,2
201701,03,03000007,S48201,Y,스포츠용품,대용식기타,763000,221,2,6
201701,03,03000007,S48201,Y,스포츠용품,냉동식품,1697000,212,1,3
201701,03,03000007,S48201,Y,스포츠용품,분말류,288000,96,1,1
201701,03,03000007,S48201,Y,스포츠용품,즉석/편의식품,82000,16,1,5
201701,03,03000007,S48201,Y,스포츠용품,대용식(빵),3380200,1144,5,47
201701,03,03000007,S48201,Y,스포츠용품,기타가공식품,2232016,519,3,5
201701,03,03000007,S48201,Y,신선식품,농산물,1500000,340,19,20
201701,03,03000007,S48201,Y,신선식품,기타신선식품,32000,8,1,2
201701,03,03000008,S03301,N,일상용품,기타일상용품,880000,80,1,1
201701,03,03000008,S03301,Y,스포츠용품,냉동식품,392992,85,3,3
201701,03,03000008,S03301,Y,스포츠용품,대용식(빵),17098960,7866,17,240
201701,03,03000008,S03301,Y,스포츠용품,기타가공식품,349448,111,1,2
201701,03,03000008,S03301,Y,신선식품,농산물,2136933,838,6,65
201701,03,03000008,S40101,Y,스포츠용품,조미료,1591450,377,1,90
201701,03,03000008,S40101,Y,스포츠용품,수산가공식품,4830,1,1,1
201701,03,03000008,S40101,Y,스포츠용품,대용식기타,454000,265,1,27
201701,03,03000008,S40101,Y,스포츠용품,통조림/병,95710,21,1,5
201701,03,03000008,S40101,Y,스포츠용품,냉동식품,54800,8,1,2
201701,03,03000008,S40101,Y,스포츠용품,분말류,463290,146,1,28
201701,03,03000008,S40101,Y,스포츠용품,즉석/편의식품,1331700,389,1,49
201701,03,03000008,S40101,Y,스포츠용품,과자류,7800,10,1,1
201701,03,03000008,S40101,Y,스포츠용품,기타가공식품,8520,3,1,1
201701,03,03000008,S40101,Y,신선식품,농산물,92140,6,1,3
201701,03,03000008,S40101,Y,신선식품,축산물,17160,3,1,1
201701,03,03000008,S40101,Y,신선식품,기타신선식품,26300,5,1,1
201701,03,03000009,S03401,Y,스포츠용품,대용식(빵),25418237,14231,17,321
201701,03,03000009,S40201,Y,스포츠용품,대용식(빵),9403900,4730,6,70
201701,03,03000009,S40201,Y,스포츠용품,기타가공식품,2477671,1162,1,14
201701,03,03000009,S40201,Y,신선식품,농산물,479500,22,2,3
201701,03,03000010,S03501,Y,스포츠용품,즉석/편의식품,13600000,15010,2,6
201701,03,03000010,S03501,Y,스포츠용품,대용식(빵),17212090,3771,14,162
201701,03,03000010,S03501,Y,신선식품,농산물,1948810,584,1,16
201701,03,03000010,S50101,Y,스포츠용품,조미료,858545,264,2,65
201701,03,03000010,S50101,Y,스포츠용품,수산가공식품,3850,2,1,2
201701,03,03000010,S50101,Y,스포츠용품,대용식기타,535150,233,2,34
201701,03,03000010,S50101,Y,스포츠용품,통조림/병,67200,26,2,9
201701,03,03000010,S50101,Y,스포츠용품,냉동식품,65439,13,1,4
201701,03,03000010,S50101,Y,스포츠용품,어육/연식품류,606000,278,2,6
201701,03,03000010,S50101,Y,스포츠용품,분말류,247330,77,2,14
201701,03,03000010,S50101,Y,스포츠용품,즉석/편의식품,617795,243,2,33
