기준년월,지역코드,통합시군구코드,지원센터코드,식품여부,기부물품대분류코드,기부물품중분류코드,이용자수,제공건수,제공금액
201701,부산,03000001,S02601,Y,스포츠용품,조미료,15,1196,10107412.9
201701,부산,03000001,S02601,Y,스포츠용품,유제품,8,81,5327060.24
201701,부산,03000001,S02601,Y,스포츠용품,축산가공식품,7,11,212600
201701,부산,03000001,S02601,Y,스포츠용품,수산가공식품,9,41,321981
201701,부산,03000001,S02601,Y,스포츠용품,대용식기타,15,709,4807454.03
201701,부산,03000001,S02601,Y,스포츠용품,통조림/병,14,106,889833.25
201701,부산,03000001,S02601,Y,스포츠용품,냉동식품,9,38,705197
201701,부산,03000001,S02601,Y,스포츠용품,절임/발효식품,6,9,41764
201701,부산,03000001,S02601,Y,스포츠용품,분말류,15,670,5607777.22
201701,부산,03000001,S02601,Y,스포츠용품,즉석/편의식품,15,765,6374325.9
201701,부산,03000001,S02601,Y,스포츠용품,건강식품,7,10,221200
201701,부산,03000001,S02601,Y,스포츠용품,과자류,15,145,9540463.93
201701,부산,03000001,S02601,Y,스포츠용품,음료류,12,32,159396.54
201701,부산,03000001,S02601,Y,스포츠용품,기타가공식품,13,59,2373705.1
201701,부산,03000001,S02601,Y,신선식품,농산물,7,20,358962
201701,부산,03000001,S02601,Y,신선식품,축산물,6,9,73274
201701,부산,03000001,S02601,Y,신선식품,기타신선식품,12,15,2867109.2
201701,부산,03000002,S02701,Y,스포츠용품,급식류,1,1,190080
201701,부산,03000002,S02701,Y,신선식품,수산물,22,22,7124000
201701,부산,03000002,S02701,Y,스포츠용품,기타가공식품,9,22,9201045.25
201701,부산,03000002,S02701,Y,스포츠용품,대용식(빵),17,23,8743299.45
201701,부산,03000002,S02701,Y,스포츠용품,과자류,33,46,17214925.64
201701,부산,03000003,S02801,Y,스포츠용품,대용식(빵),374,1362,13285611.22
201701,부산,03000004,S02901,Y,스포츠용품,즉석/편의식품,4,4,400000
201701,부산,03000004,S02901,Y,신선식품,농산물,88,88,1260000
201701,부산,03000004,S02901,Y,스포츠용품,기타가공식품,20,20,46107.98
201701,부산,03000004,S02901,Y,스포츠용품,대용식(빵),1237,3244,4403633.06
201701,부산,03000005,S03001,Y,스포츠용품,대용식(빵),14,16,11633154.78
201701,부산,03000006,S03101,Y,스포츠용품,즉석/편의식품,1,3,140999.83
201701,부산,03000006,S03101,Y,신선식품,기타신선식품,7,7,93325.8
201701,부산,03000006,S03101,Y,스포츠용품,기타가공식품,19,40,6763554.27
201701,부산,03000006,S03101,Y,스포츠용품,대용식(빵),14,160,10734401.84
201701,부산,03000006,S03101,Y,스포츠용품,과자류,5,6,4230000
201701,부산,03000007,S03201,Y,스포츠용품,대용식(빵),115,226,10531449.65
201701,부산,03000007,S03201,N,일상용품,기타일상용품,1,1,231599.94
201701,부산,03000007,S03201,Y,신선식품,농산물,1,1,200000
201701,부산,03000007,S03201,Y,스포츠용품,기타가공식품,4,4,856826.96
201701,부산,03000007,S03201,Y,스포츠용품,음료류,19,19,200649.6
201701,부산,03000008,S03301,Y,스포츠용품,조미료,1,1,8340
201701,부산,03000008,S03301,N,일상용품,기타일상용품,3,3,880000
201701,부산,03000008,S03301,Y,신선식품,농산물,186,532,2136933.16
201701,부산,03000008,S03301,Y,스포츠용품,기타가공식품,2,2,349447.76
201701,부산,03000008,S03301,Y,스포츠용품,대용식(빵),281,3508,17738180.97
201701,부산,03000008,S03301,Y,스포츠용품,냉동식품,6,6,392992
201701,부산,03000009,S03401,Y,스포츠용품,대용식(빵),141,1213,27650180.4
201701,부산,03000010,S03501,Y,신선식품,수산물,4,5,3654800
201701,부산,03000010,S03501,Y,신선식품,농산물,12,16,1948810.19
201701,부산,03000010,S03501,Y,스포츠용품,대용식(빵),33,171,17632990.22
201701,부산,03000010,S03501,Y,스포츠용품,즉석/편의식품,29,34,10900000
201701,부산,03000011,S03601,Y,스포츠용품,음료류,10,10,200649.6
201701,부산,03000011,S03601,Y,스포츠용품,가공식품세트류,32,41,395036.08
201701,부산,03000011,S03601,N,일상용품,기타일상용품,2,2,1073700.25
201701,부산,03000011,S03601,Y,신선식품,기타신선식품,1,1,286199.12
201701,부산,03000011,S03601,Y,스포츠용품,기타가공식품,3,3,3957999.75
201701,부산,03000011,S03601,Y,스포츠용품,대용식(빵),42,333,11678564.27
201701,부산,03000012,S03701,Y,스포츠용품,냉동식품,11,11,60000
201701,부산,03000012,S03701,Y,스포츠용품,대용식(빵),183,1855,10142658.18
201701,부산,03000012,S03701,Y,스포츠용품,기타가공식품,42,42,1036000
201701,부산,03000012,S03701,Y,신선식품,농산물,29,29,756000
201701,부산,03000012,S03701,Y,스포츠용품,유제품,11,11,56000
201701,부산,03000012,S03701,Y,스포츠용품,조미료,1,1,12000
201701,부산,03000012,S03701,Y,스포츠용품,과자류,85,85,784080
201701,부산,03000012,S03701,Y,스포츠용품,즉석/편의식품,1,1,36000
201701,부산,03000012,S03701,Y,스포츠용품,분말류,44,44,1607800.36
201701,부산,03000012,S03701,Y,스포츠용품,음료류,57,253,4509500
201701,부산,03000013,S03801,Y,스포츠용품,기타가공식품,28,61,8206952.81
201701,부산,03000013,S03801,N,일상용품,일용잡화,3,3,247199.76
201701,부산,03000013,S03801,Y,스포츠용품,음료류,28,56,740206.42
201701,부산,03000013,S03801,Y,스포츠용품,대용식(빵),17,56,14469696.91
201701,부산,03000014,S03901,Y,스포츠용품,음료류,8,8,746400
201701,부산,03000014,S03901,Y,신선식품,농산물,10,11,571369.9
201701,부산,03000014,S03901,Y,스포츠용품,대용식(빵),170,707,13349594.9
201701,부산,03000100,S04101,Y,스포츠용품,대용식(빵),36,36,650500.19
201701,부산,03000004,S38501,Y,스포츠용품,기타가공식품,14,35,20622520.93
201701,부산,03000004,S38501,Y,스포츠용품,음료류,14,14,1036334.96
201701,부산,03000006,S40001,Y,스포츠용품,기타가공식품,413,539,3408590.74
201701,부산,03000006,S40001,Y,스포츠용품,대용식(빵),2,8,2910500.12
201701,부산,03000006,S40001,Y,스포츠용품,음료류,16,16,85280
201701,부산,03000006,S40001,Y,스포츠용품,건강식품,23,23,4565000
201701,부산,03000006,S40001,Y,스포츠용품,분말류,33,33,59800
201701,부산,03000006,S40001,Y,스포츠용품,통조림/병,20,20,46320.12
201701,부산,03000006,S40001,Y,스포츠용품,대용식기타,144,160,733150
201701,부산,03000006,S40001,Y,스포츠용품,축산가공식품,11,11,62089.2
201701,부산,03000006,S40001,Y,스포츠용품,조미료,105,113,584400
201701,부산,03000006,S40001,N,의류/패션잡화,신발,38,38,4692000
201701,부산,03000006,S40001,N,의류/패션잡화,패션잡화,7,7,81900
201701,부산,03000006,S40001,N,가정용품,생활용품,160,160,286793.72
201701,부산,03000006,S40001,N,가정용품,세탁용품,21,21,415800
201701,부산,03000006,S40001,N,일상용품,위생용품,23,23,73700
201701,부산,03000006,S40001,N,일상용품,화장품,4,4,4903.72
201701,부산,03000006,S40001,Y,신선식품,농산물,40,52,329600
201701,부산,03000008,S40101,Y,스포츠용품,기타가공식품,451,466,11839102.66
