기준년월,유통기한사용여부,유해상품차단여부,식품여부,기부물품대분류코드,기부물품중분류코드,기부물품수량,장부금액
201701,N,N,Y,신선식품,수산물(냉동),0,0
201701,N,N,Y,스포츠용품,조미료,0,0
201701,N,N,Y,신선식품,신선식품세트류,0,0
201701,N,N,Y,스포츠용품,과자류,21677,25298793.16
201701,N,N,Y,신선식품,기타신선식품,392,2438914.24
201701,N,N,Y,스포츠용품,절임/발효식품,0,0
201701,N,N,N,일상용품,위생용품,160,1030600
201701,N,N,Y,스포츠용품,음료류,2366,786198.14
201701,N,N,N,일상용품,일용잡화,0,0
201701,N,Y,Y,스포츠용품,절임/발효식품,0,0
201701,N,N,N,일상용품,화장품,146,667340.83
201701,N,N,Y,스포츠용품,대용식기타,0,0
201701,N,N,N,일상용품,DIY용품,0,0
201701,N,N,Y,스포츠용품,농산물가공식품,0,0
201701,N,N,N,일상용품,기타일상용품,62,1315000
201701,N,N,N,가정용품,주방용품,140,463880
201701,N,N,N,가정용품,청소/욕실용품,0,0
201701,N,N,N,가정용품,세탁용품,0,0
201701,N,N,N,가정용품,생활용품,220,2060000.23
201701,N,N,N,가정용품,침실용품,0,0
201701,N,N,N,가정용품,실내인테리어용품,0,0
201701,N,N,N,가정용품,가정용품세트류,145,1160000
201701,N,N,N,가정용품,기타가정용품,0,0
201701,N,N,N,의약품/의료용품,의약품,11,33000
201701,N,N,Y,스포츠용품,어육/연식품류,0,0
201701,N,N,N,의약품/의료용품,의료용품,100,8900000
201701,N,N,N,문화용품,문구/사무용품,0,0
201701,N,N,N,문화용품,완구,0,0
201701,N,N,N,문화용품,서적,120,1200000
201701,N,N,N,문화용품,기타 문화용품,0,0
201701,N,N,N,내구소비재,가전,0,0
201701,N,N,N,내구소비재,기타 내구소비재,0,0
201701,N,N,N,의류/패션잡화,의류,1199,47471729.33
201701,N,N,N,의류/패션잡화,패션잡화,0,0
201701,N,N,N,의류/패션잡화,신발,254,8093903.98
201701,N,N,N,의류/패션잡화,언더웨어/양말,3841,9891028
201701,N,N,N,의류/패션잡화,기타의류/잡화,0,0
201701,N,N,N,,헬스용품,0,0
201701,N,N,N,,레저스포츠용품,0,0
201701,N,N,N,기타상품,기타,0,0
201701,N,N,Y,스포츠용품,급식류,0,0
201701,N,N,Y,스포츠용품,유제품,0,0
201701,N,N,Y,스포츠용품,분말류,0,0
201701,N,N,Y,스포츠용품,도시락류,0,0
201701,N,N,Y,스포츠용품,통조림/병,78,156000
201701,N,N,Y,스포츠용품,가공식품세트류,0,0
201701,N,N,Y,스포츠용품,즉석/편의식품,46,89867
201701,N,N,Y,스포츠용품,대용식(빵),5984,4817591.68
201701,N,Y,Y,스포츠용품,즉석/편의식품,0,0
201701,N,N,Y,스포츠용품,기타가공식품,14531,19581716.03
201701,N,Y,Y,스포츠용품,조미료,0,0
201701,N,N,Y,신선식품,농산물,166,1108600
201701,N,Y,Y,신선식품,농산물,0,0
201701,N,N,Y,스포츠용품,수산가공식품,0,0
