기준년월,지역코드,통합시군구코드,지원센터단위코드,지원센터구분코드,지원센터코드,지원센터전화번호,지원센터주소,지원센터상세주소,지원센터상태코드,운영주체대분류코드,운영주체소분류코드,신고구분코드,등록일자,접수금액,제공금액,인수금액,이관금액,이용자수
201601,부산,03000013,광역,푸드뱅크,S02501,051-791-1377,부산광역시 연제구 월드컵대로187번길 6,(거제동),사용,법인 운영,사단법인,당연신고,20140701,113589254,0,210718876,322779883,0
201601,부산,03000001,기초,푸드뱅크,S02601,051-464-3137,부산 중구 대청동4가,75-7,사용,법인 운영,사회복지법인,임의신고,20020101,16015240,17883239.22,0,0,11
201601,부산,03000002,기초,푸드뱅크,S02701,051-241-1133,부산 서구 암남동,산 169-1 19/4,사용,법인 운영,사회복지법인,임의신고,20020101,9622180,50062183.78,10231401,0,43
201601,부산,03000003,기초,푸드뱅크,S02801,051-633-3367,부산 동구 범일6동,1542-1,사용,법인 운영,재단법인,임의신고,20020101,18858506,32669858.2,4194611,0,31
201601,부산,03000004,기초,푸드뱅크,S02901,051-404-5061,부산 영도구 동삼3동,1123,사용,법인 운영,사회복지법인,임의신고,20020101,14520339,16193324.88,8770722,0,1379
201601,부산,03000005,기초,푸드뱅크,S03001,051-896-2320,부산광역시 부산진구 당감서로 16,(당감동),사용,법인 운영,사회복지법인,임의신고,20020101,16318249,47965822.73,8424672,0,17
201601,부산,03000006,기초,푸드뱅크,S03101,051-531-2460,부산 동래구 명장2동,508-72,사용,법인 운영,사회복지법인,임의신고,20020101,13999465,25983953.76,17188628,0,26
201601,부산,03000007,기초,푸드뱅크,S03201,051-647-3655,부산광역시 남구 동제당로 258,(우암동),사용,법인 운영,학교법인,임의신고,20020101,17647450,23330269.98,1819138,0,37
201601,부산,03000008,기초,푸드뱅크,S03301,051-331-4674,부산 북구 덕천3동,808,사용,법인 운영,사회복지법인,당연신고,20020701,23553034,41557056.21,28160469,0,376
201601,부산,03000009,기초,푸드뱅크,S03401,051-782-5005,부산 해운대구 재송1동,100-9,사용,법인 운영,사회복지법인,임의신고,20020101,32811743,38584362.2,5687556,209000,26
201601,부산,03000010,기초,푸드뱅크,S03501,051-265-9471,부산 사하구 다대2동 96-1,두송종합사회복지관,사용,법인 운영,사회복지법인,당연신고,20020101,19325800,27361342.8,7826527,0,38
201601,부산,03000011,기초,푸드뱅크,S03601,051-508-1997,부산광역시 금정구 중앙대로2349번길 3,(노포동),사용,법인 운영,사회복지법인,임의신고,20100727,13718597,28186483.33,14467883,0,59
201601,부산,03000012,기초,푸드뱅크,S03701,051-271-0561,부산 강서구 명지동,627-28,사용,법인 운영,사회복지법인,임의신고,20020101,3589662,7416405.75,4674070,0,182
201601,부산,03000013,기초,푸드뱅크,S03801,"051-863-8360,1",부산 연제구 연산3동,2015-9,사용,법인 운영,사회복지법인,임의신고,20020101,12244540,0,27187799,0,0
