지역코드,통합시군구코드,지원센터코드,선호물품분류코드,보유수량
부산,03000002,S02701,김(류),0
부산,03000100,S63901,된장(류),0
부산,03000008,S40101,비누,0
부산,03000003,S02801,밀가루(류),0
부산,03000008,S40101,김(류),0
부산,03000100,S04101,밀가루(류),0
부산,03000006,S40001,라면류,0
부산,03000010,S03501,샴푸,0
부산,03000007,S48201,소면류(국수),2207
부산,03000007,S48201,참기름,0
부산,03000015,S51601,식용유(류),0
부산,03000008,S03301,김(류),0
부산,03000005,S03001,비누,0
부산,03000007,S48201,쌀(곡식류),1220
부산,03000008,S40101,통조림류,0
부산,03000001,S02601,비누,0
부산,03000009,S40201,밀가루(류),0
부산,03000011,S03601,김(류),0
부산,03000009,S40201,된장(류),0
부산,03000010,S50101,치약,0
부산,03000001,S02601,소면류(국수),0
부산,03000004,S02901,소면류(국수),0
부산,03000001,S49001,비누,18
부산,03000004,S51501,쌀(곡식류),0
부산,03000002,S40301,김(류),0
부산,03000009,S40201,즉석밥류,15
부산,03000010,S03501,김(류),0
부산,03000010,S50101,쌀(곡식류),0
부산,03000001,S49001,통조림류,0
부산,03000004,S51501,(즉석)가공햄류,0
부산,03000006,S40001,치약,0
부산,03000010,S03501,쌀(곡식류),0
부산,03000001,S02601,통조림류,0
부산,03000011,S51401,설탕(류),0
부산,03000013,S02501,김(류),0
부산,03000005,S03001,참기름,0
부산,03000007,S03201,통조림류,0
부산,03000014,S03901,(즉석)가공햄류,0
부산,03000006,S03101,밀가루(류),0
부산,03000005,S03001,통조림류,0
부산,03000008,S03301,설탕(류),0
부산,03000007,S48201,간장(류),0
부산,03000012,S64801,간장(류),17
부산,03000003,S64001,(즉석)가공햄류,0
부산,03000011,S03601,쌀(곡식류),0
부산,03000012,S03701,즉석밥류,0
부산,03000003,S64001,소면류(국수),486
부산,03000010,S03501,소면류(국수),0
부산,03000009,S03401,(즉석)가공햄류,0
부산,03000013,S02501,간장(류),0
부산,03000013,S03801,밀가루(류),0
부산,03000013,S03801,고추장(류),0
부산,03000014,S58201,즉석밥류,0
부산,03000001,S02601,치약,0
부산,03000004,S02901,치약,0
부산,03000007,S03201,고추장(류),0
부산,03000014,S58201,참기름,0
부산,03000100,S63901,(즉석)가공햄류,0
부산,03000013,S02501,된장(류),0
부산,03000006,S03101,고추장(류),0
부산,03000001,S02601,쌀(곡식류),0
부산,03000100,S63901,쌀(곡식류),0
부산,03000013,S02501,비누,0
부산,03000012,S64801,참기름,0
부산,03000007,S48201,된장(류),0
부산,03000005,S03001,밀가루(류),0
부산,03000006,S03101,설탕(류),0
부산,03000012,S03701,라면류,0
부산,03000013,S02501,샴푸,0
부산,03000015,S51601,밀가루(류),0
부산,03000008,S03301,라면류,0
부산,03000002,S40301,샴푸,0
부산,03000006,S40001,고추장(류),0
부산,03000013,S03801,김(류),0
부산,03000002,S02701,소면류(국수),0
부산,03000010,S03501,즉석밥류,1102
부산,03000007,S03201,라면류,0
부산,03000002,S40301,고추장(류),0
부산,03000005,S03001,설탕(류),0
부산,03000015,S51601,쌀(곡식류),146
부산,03000009,S03401,비누,0
부산,03000007,S48201,통조림류,0
부산,03000009,S40201,통조림류,0
부산,03000004,S02901,라면류,0
부산,03000012,S64801,밀가루(류),0
부산,03000011,S51401,쌀(곡식류),503
부산,03000012,S64801,김(류),0
부산,03000002,S02701,쌀(곡식류),0
부산,03000003,S02801,쌀(곡식류),0
부산,03000008,S40101,된장(류),0
부산,03000006,S40001,설탕(류),120
부산,03000015,S51601,된장(류),21
부산,03000004,S02901,간장(류),0
부산,03000005,S50701,치약,0
부산,03000013,S64701,설탕(류),0
부산,03000003,S02801,김(류),0
부산,03000100,S04101,라면류,0
부산,03000001,S02601,밀가루(류),0
부산,03000008,S40101,식용유(류),0
부산,03000008,S40101,소면류(국수),0
부산,03000011,S51401,치약,1332
부산,03000006,S40001,된장(류),0
부산,03000001,S49001,샴푸,0
부산,03000006,S40001,즉석밥류,0
부산,03000010,S50101,밀가루(류),0
부산,03000003,S64001,쌀(곡식류),50
부산,03000001,S49001,간장(류),0
부산,03000100,S04101,참기름,0
부산,03000012,S03701,된장(류),0
부산,03000011,S51401,샴푸,0
부산,03000005,S03001,소면류(국수),0
부산,03000005,S50701,소면류(국수),201
부산,03000013,S64701,라면류,0
부산,03000013,S64701,고추장(류),0
부산,03000100,S63901,김(류),0
부산,03000001,S02601,즉석밥류,0
부산,03000007,S48201,김(류),0
