사업장명,운영형태,신고기준,지원센터코드,지원센터(사업장본명),지정일자(광역)/신고일자(기초),당연전환,운영주체분류,운영주체명,보관창고면적(m^2),보관창고소유구분,매장면적(m^2),매장소유구분,인력소계,전담인력,보조인력,인건비합계(천원),냉장(냉동)시설용량,2021결산,2022예산,2021지원금,2022지원금,접수금액,제공금액,인수금액,이관금액,이용자수
부산광역푸드뱅크,광역지원센터,당연,S02501,부산시광역푸드뱅크,2020-07-01,0,사회복지법인,부산광역시사회복지협의회,66,임대,-,-,4,2,2,85099,0,196842,140560,130000,130000,273823510.7233333,7837333.639166666,218046006.58333334,454634881.8833333,0.7666666666666667
강서구기초푸드뱅크,기초푸드뱅크,임의,S03701,강서구푸드뱅크,2002-01-01,0,사회복지법인,낙동종합사회복지관,27,소유,-,-,4,0,4,-,3354,6000,6000,6000,6000,11330606.883050848,14127739.387966102,5097368.169491526,0.0,99.01694915254237
강서구기초푸드마켓,기초푸드마켓,임의,S64801,강서구둥지푸드마켓,2017-09-27,0,사단법인,사단법인둥지복지마을,20,임대,86,임대,2,1,1,40727,460,50000,50000,50000,50000,2318387.4102564105,23231121.76128205,26116494.948717948,791046.2051282051,234.6153846153846
금정구기초푸드뱅크,기초푸드뱅크,임의,S03601,금정구푸드뱅크,2000-10-01,0,사회복지법인,남광종합사회복지관,34.5,소유,-,-,2,0,2,-,1170,4300,6000,43000,6000,14949357.516666668,25556439.341833334,10996746.183333334,0.0,60.95
금정구푸드마켓,기초푸드마켓,임의,S51401,부산금정구푸드마켓,2011-12-30,0,재단법인,사회복지법인선양,99,임대,50,임대,5,1,4,39888,2808,51000,50000,51000,50000,7130132.65,15138159.212666666,17820469.216666665,1090342.8666666667,386.1
기장군기초푸드뱅크,기초푸드뱅크,임의,S04101,기장군푸드뱅크,2016-03-15,0,사단법인,대한성공회유지재단,33,소유,-,-,1,0,1,-,506,3000,6000,3000,6000,4720883.45,8325845.628666667,3990161.0166666666,0.0,62.78333333333333
기장군기초푸드마켓,기초푸드마켓,임의,S63901,기장푸드마켓,2017-04-28,0,사회복지법인,사)국제청소년연맹,120,임대,78,임대,3,1,2,22700,1000,24988,31200,0,0,5960816.318181818,17255862.585454546,12465100.431818182,33897.931818181816,166.52272727272728
남구기초푸드뱅크,기초푸드뱅크,임의,S03201,남구푸드뱅크,2007-04-25,0,사단법인,남구종합사회복지관,5.8,소유,-,-,1,0,1,-,221,6000,6000,6000,6000,16118176.762711864,19889391.954237286,4274874.423728813,0.0,60.83050847457627
남구기초푸드마켓,기초푸드마켓,당연,S48201,남구동행푸드마켓,2010-10-01,0,사단법인,사단법인둥지복지마을,49,임대,49,임대,4,1,3,57520,1000,64400,70000,58400,60000,19848161.85,38027722.059999995,25022254.9,2814754.933333333,583.9166666666666
동구기초푸드뱅크,기초푸드뱅크,임의,S02801,동구푸드뱅크,2002-01-01,0,재단법인,동구종합사회복지관,12,소유,-,-,2,0,2,-,1800,5000,6000,5000,6000,11696506.866666667,16265774.317499999,6532169.416666667,27209.0,293.53333333333336
동구기초푸드마켓,기초푸드마켓,임의,S64001,동구푸드마켓,2017-05-26,0,비영리민간단체,작은나눔협동조합,59,임대,19,임대,3,1,2,44714,1140,50000,50000,50000,50000,1361433.3333333333,17464478.885952383,17687026.14285714,682838.7142857143,258.76190476190476
동래구기초푸드뱅크,기초푸드뱅크,임의,S03101,동래구푸드뱅크,-,0,사회복지법인,동래종합사회복지관,30,임대,85,임대,1,1,0,37416,2880,51835,52060,50000,50000,11798150.166666666,20853109.267333332,14234404.133333333,62650.0,14.416666666666666
동래구기초푸드마켓,기초푸드마켓,임의,S40001,동래등대지기푸드마켓,2009-06-26,0,사회복지법인,동래종합사회복지관,5.5,소유,-,-,1,0,1,-,1500,5000,6000,5000,6000,13907822.066666666,21810063.513166666,17732407.883333333,7420203.483333333,358.9
부산진구기초푸드뱅크,기초푸드뱅크,임의,S03001,부산진구푸드뱅크,2007-09-28,0,사회복지법인,당감종합사회복지관,16.5,소유,-,-,1,0,1,-,535,3000,6000,3000,6000,19618754.583333332,22899711.940666668,6041474.95,0.0,40.516666666666666
부산진구기초푸드마켓,기초푸드마켓,당연,S50701,부산진구푸드마켓,2011-11-10,0,사회복지법인,당감종합사회복지관,71.82,임대,26,임대,4,1,3,38943,1140,65188,66015,58000,60000,28610170.083333332,83572273.94266668,59847879.3,2774328.2,561.2333333333333
