구분,구군명,운영단체명,대표자,소재지,위도,경도,연락처,데이터기준일자
푸드뱅크,연제구,부산광역푸드뱅크(부산광역시사회복지협의회),오흥숙,"부산광역시 연제구 법원남로16번길27, 901호(거제동)",35.19189853,129.0751835,051-791-1377,2023-02-01
푸드뱅크,중구,중구종합사회복지관,조혜영,부산광역시 중구 망양로 309(대청동4가),35.10578162,129.0282438,051-464-3137,2023-02-01
푸드뱅크,서구,사회복지법인 팔복,조생래,부산광역시 서구 구덕로346번길28(동대신동),35.1148998,129.0169825,051-243-1367,2023-02-01
푸드뱅크,동구,동구종합사회복지관,김성용,부산광역시 동구 안창로 57(범일동),35.14562834,129.0424303,051-633-3367,2023-02-01
푸드뱅크,영도구,상리종합사회복지관,김영신,부산광역시 영도구 상리로 63-16(동삼동),35.08616799,129.0707765,051-404-5061,2023-02-01
푸드뱅크,부산진구,당감종합사회복지관,박현애,부산광역시 부산진구 당감서로 16(당감동),35.16232715,129.0366066,051-896-2320,2023-02-01
푸드뱅크,동래구,동래종합사회복지관,하소연,부산광역시 동래구 시실로 107번길 151(명장동),35.21122134,129.0985687,051-531-2460,2023-02-01
푸드뱅크,남구,남구종합사회복지관,윤성희,부산광역시 남구 동제당로 258(우암동),35.12717204,129.0749124,051-647-3655,2023-02-01
푸드뱅크,북구,덕천종합사회복지관,서경복,부산광역시 북구 덕천로 74(덕천동),35.20900412,129.0171568,051-331-4674,2023-02-01
푸드뱅크,해운대구,해운대종합사회복지관,정영희,부산광역시 해운대구 재반로 12번길 16(재송동),35.17966779,129.1275334,051-782-5005,2023-02-01
푸드뱅크,사하구,두송종합사회복지관,김태형,부산광역시 사하구 다송로 59(다대동),35.06274344,128.985473,051-265-9471,2023-02-01
푸드뱅크,금정구,남광종합사회복지관,박해영,부산광역시 금정구 중앙대로 2349번길 3(노포동),35.29339563,129.1000092,051-508-1998,2023-02-01
푸드뱅크,강서구,낙동종합사회복지관,권기철,부산광역시 강서구 순앙강변길 5(명지동),35.12734954,128.8762147,051-271-0561,2023-02-01
푸드뱅크,연제구,연제구연산종합사회복지관,전현수,부산광역시 연제구 봉수로 17,35.17272947,129.0889055,051-863-8360,2023-02-01
푸드뱅크,수영구,부산종합사회복지관,구춘희,부산광역시 수영구 금련로 43번길 54(망미동),35.17103676,129.0986639,051-755-3367,2023-02-01
푸드뱅크,사상구,백양종합사회복지관,이혜정,부산광역시 사상구 모라로 192번길 20-33(모라3동),35.18372431,128.9993511,051-305-4287,2023-02-01
푸드뱅크,기장군,대한성공회유지재단,권기철,부산광역시 기장군 기장읍 차성로 288번길 27,35.24324213,129.2149601,051-724-3457,2023-02-01
푸드마켓,중구,중구 다솜나래푸드마켓 (중구종합사회복지관),조혜영,부산광역시 중구 중구로 184-1(영주동),35.11104568,129.0346066,051-463-1388,2023-02-01
푸드마켓,서구,푸르미&나누미푸드마켓(사회복지법인 팔복),조생래,부산광역시 서구 구덕로346번길28(동대신동),35.1148998,129.0169825,051-243-1367,2023-02-01
푸드마켓,동구,동구 푸드마켓(작은나눔협동조합),권지후,부산광역시 동구 진성로68(수정동),35.13382282,129.0452422,051-905-1378,2023-02-01
푸드마켓,영도구,영도구 푸드마켓(상리종합사회복지관),김영신,부산광역시 영도구 태종로514(동삼동),35.08451383,129.0733319,051-405-1377,2023-02-01
푸드마켓,부산진구,부산진구 푸드마켓(당감종합사회복지관),박현애,부산광역시 부산진구 중앙대로 882(양정동),35.16924261,129.0685179,051-853-1377,2023-02-01
푸드마켓,동래구,동래 등대지기푸드마켓(동래종합사회복지관),하소연,부산광역시 동래구 석사북로 59-1(온천동),35.20325663,129.0639012,051-506-1377,2023-02-01
푸드마켓,남구,남구 동행푸드마켓(둥지복지마을),김순희,부산광역시 남구 못골로53번길12-20(대연동),35.13646831,129.0887071,051-638-1377,2023-02-01
푸드마켓,북구,북구 행복푸드마켓(덕천종합사회복지관),서경복,부산광역시 북구 의성로 115번길 11(덕천동),35.21054689,129.0116187,051-335-8377,2023-02-01
푸드마켓,해운대구,해운대푸드마켓(해운대종합사회복지관),정영희,부산광역시 해운대구 재반로 79(재송동),35.18547232,129.1256374,051-781-1373,2023-02-01
푸드마켓,사하구,사하사랑나눔 푸드마켓(두송종합사회복지관),김태형,부산광역시 사하구 다대로 544(다대동),35.05780359,128.9709759,051-262-1377,2023-02-01
푸드마켓,금정구,금정구 푸드마켓(사회복지법인 선양),김수현,부산광역시 금정구 중앙대로 1992(남산동),35.26219907,129.0920698,051-911-1377,2023-02-01
푸드마켓,강서구,강서구 둥지푸드마켓(사단법인 둥지복지마을),김순희,부산광역시 강서구 공항로 1207(대저1동),35.20813322,128.9807383,051-711-1378,2023-02-01
푸드마켓,연제구,연제구 둥지푸드마켓(사단법인 둥지복지마을),김순희,부산광역시 연제구 월드컵대로187번길 6(거제동),35.18761169,129.0757747,051-714-1378,2023-02-01
푸드마켓,수영구,함께 하는 푸드마켓(사단법인 국제청소년복지연맹),구영찬,부산광역시 수영구 연수로 249번길 12-18(망미동),35.17365669,129.0990066,051-756-1925,2023-02-01
푸드마켓,사상구,사상구 푸드마켓(백양종합사회복지관),정병우,부산광역시 사상구 동주로 6-9(주례동),35.1479299,128.9993407,051-325-1399,2023-02-01
푸드마켓,기장군,기장푸드마켓(사단법인 국제청소년복지연맹),김진건,부산광역시 기장군 기장읍 차성남로 28,35.24119019,129.2110511,051-722-4006,2023-02-01
