지원센터코드,지원센터주소,년,접수금액,제공금액,인수금액,이관금액,이용자수,장부금액,장부수량,기부자수,기부건수,제공건수,사업장유형
강서구기초푸드마켓,부산광역시 강서구 공항로 1207,2017,15793689,11343949,83229216,0,402,15793689,3436,69,257,2013,0
강서구기초푸드마켓,부산광역시 강서구 공항로 1207,2019,15541100,298169210.3,244801019,0,3056,15541100,4614,16,28,6325,0
강서구기초푸드마켓,부산광역시 강서구 공항로 1207,2020,22418200,296911934.2,403720010,29574802,3047,22418200,11805,17,45,6000,0
강서구기초푸드마켓,부산광역시 강서구 공항로 1207,2021,36664120,299588655.2,286793058,1276000,2645,36664120,20718,30,62,8461,0
강서구기초푸드뱅크,부산 강서구 명지동,2017,170673867,174608378.4,93608722,0,2815,170673867,70375,206,1948,25289,0
강서구기초푸드뱅크,부산 강서구 명지동,2019,102885844,132274191.2,33036970,0,146,102885844,48989,195,2127,3370,0
강서구기초푸드뱅크,부산 강서구 명지동,2020,131808036,166678970.8,28362340,0,195,131808036,48912,183,2128,2333,0
강서구기초푸드뱅크,부산 강서구 명지동,2021,127734007,167447968.1,39713959,0,140,127734007,40587,165,1856,2005,0
금정구기초푸드뱅크,부산광역시 금정구 중앙대로2349번길 3,2017,171512144,324642842.5,159794766,0,736,171512144,63805,190,2079,6804,0
금정구기초푸드뱅크,부산광역시 금정구 중앙대로2349번길 3,2019,174594953,299834595.8,125239625,0,775,174594953,62296,199,2170,3650,0
금정구기초푸드뱅크,부산광역시 금정구 중앙대로2349번길 3,2020,207453243,297783217.4,90329974,0,614,207453243,75692,183,1884,3658,0
금정구기초푸드뱅크,부산광역시 금정구 중앙대로2349번길 3,2021,168456539,265436857,96980297,0,853,168456539,46299,174,1998,3453,0
금정구푸드마켓,부산 금정구 남산동,2017,69114432,167971862.7,184706721,0,5749,69114432,22491,71,556,23058,0
금정구푸드마켓,부산 금정구 남산동,2019,138917121,229065777.7,129817581,0,5486,138917121,32105,101,659,30068,0
금정구푸드마켓,부산 금정구 남산동,2020,53297300,102843592.7,339016078,13246623,2582,53297300,13787,42,189,17830,0
금정구푸드마켓,부산 금정구 남산동,2021,52887456,237516519.5,230848327,0,3765,52887456,14003,57,243,30878,0
