지원센터코드,년,장부금액,장부수량,기부자수,기부건수,이용자수,제공건수,제공금액
강서구기초푸드마켓,2017,15793689.0,3436,69,257,1454,2013,11343949.0
강서구기초푸드마켓,2018,45562980.0,26170,22,35,4618,4994,298702375.24
강서구기초푸드마켓,2019,15541100.0,4614,16,28,6110,6325,298169210.34
강서구기초푸드마켓,2020,22418200.0,11805,17,45,5083,6000,296911934.16
강서구기초푸드마켓,2021,36664120.0,20718,30,62,7002,8461,299588655.19
강서구기초푸드마켓,2022,23735760.0,6960,69,284,9934,14329,299205263.9
강서구기초푸드뱅크,2017,170673867.0,70375,206,1948,4686,25289,174608378.43
강서구기초푸드뱅크,2018,133259882.0,69502,203,2331,4003,13677,194275928.77
강서구기초푸드뱅크,2019,102885844.0,48989,195,2127,375,3370,132274191.16
강서구기초푸드뱅크,2020,131808036.0,48912,183,2128,475,2333,166678970.84
강서구기초푸드뱅크,2021,127734007.0,40587,165,1856,326,2005,167447968.1
강서구기초푸드뱅크,2022,113797451.0,35947,144,1531,355,1797,142160333.33
금정구기초푸드뱅크,2017,171512144.0,63805,190,2079,1633,6804,324642842.5
금정구기초푸드뱅크,2018,182703339.0,68384,180,2179,1532,6400,314945075.85
금정구기초푸드뱅크,2019,174594953.0,62296,199,2170,1501,3650,299834595.84
금정구기초푸드뱅크,2020,207453243.0,75692,183,1884,1126,3658,297783217.42
금정구기초푸드뱅크,2021,168456539.0,46299,174,1998,1299,3453,265436856.96
금정구기초푸드뱅크,2022,242290378.0,64530,233,2833,1401,3839,298448369.31
금정구푸드마켓,2017,69114432.0,22491,71,556,17177,23058,167971862.67
금정구푸드마켓,2018,111878386.0,35622,95,654,15682,20502,157903020.2
금정구푸드마켓,2019,138917121.0,32105,101,659,19102,30068,229065777.71
금정구푸드마켓,2020,53297300.0,13787,42,189,9842,17830,102843592.66
금정구푸드마켓,2021,52887456.0,14003,57,243,18093,30878,237516519.54
금정구푸드마켓,2022,70733254.0,17265,67,320,19444,28369,123491733.91
기장군기초푸드마켓,2017,10.0,25971654,10,184,2374,3661,42816201.91
기장군기초푸드마켓,2018,109597031.0,34471,44,511,2651,3133,198571457.31
기장군기초푸드마켓,2019,93527807.0,61069,42,418,4214,5006,195168989.51
기장군기초푸드마켓,2020,61160450.0,53602132,34,359,2268,2970,302954991.53000003
기장군기초푸드마켓,2021,107587651.0,33768309,31,239,2041,2504,218317770.81
기장군기초푸드마켓,2022,10354150.0,5782,8,11,1468,1510,58283424.79
기장군기초푸드뱅크,2017,19125700.0,7397,46,307,1724,1766,62904893.93
기장군기초푸드뱅크,2018,6465790.0,3189,40,108,69,126,16584631.42
기장군기초푸드뱅크,2019,14809750.0,8016,50,231,130,321,24535460.89
기장군기초푸드뱅크,2020,35997190.0,11382,49,257,204,426,114311469.96000001
기장군기초푸드뱅크,2021,167867867.0,50837,101,1204,247,1311,199082779.12
기장군기초푸드뱅크,2022,135159780.0,37450,119,1137,168,1177,153608449.68
남구기초푸드마켓,2017,153671066.0,41394,315,5792,12808,20053,344731333.63
남구기초푸드마켓,2018,168776450.0,55938,305,5242,14400,23672,484833244.34
남구기초푸드마켓,2019,295294046.0,99955,388,5640,14289,20962,416346341.23
남구기초푸드마켓,2020,180017565.0,42425,292,4188,6840,10955,593684344.41
